,developer_group_id,developer_group_name,developer_group_address,region_id,region_name,startDate,endDate,total_living_floor_size,appt_num,object_count,total_living_floor_size_pct,typed_volume_pct,rating
2155,6099116001,Строительная компания Содружество,"Ивановская область, 153022, г. Иваново, ул. Богдана Хмельницкого, д. 44, корп. 2, оф. 2",1,Итого,2019-02-05,2019-04-01,6314,122,2,0.004634913841400148,0.0,2273
2156,6099116001,Строительная компания Содружество,"Ивановская область, 153022, г. Иваново, ул. Богдана Хмельницкого, д. 44, корп. 2, оф. 2",1763,Ивановская область,2019-02-05,2019-04-01,6314,122,2,1.288702928870293,0.0,22
2157,4854854001,Строительная компания Инжстрой,"Рязанская область, 390013, г. Рязань, ул. Вокзальная, д. 61, корп. 1",1,Итого,2018-03-21,2019-03-04,6345,108,1,0.004657669991080764,100.0,2266
2158,4854854001,Строительная компания Инжстрой,"Рязанская область, 390013, г. Рязань, ул. Вокзальная, д. 61, корп. 1",1770,Рязанская область,2018-03-21,2019-03-04,6345,108,1,0.25845003299362124,100.0,28
2159,6040807001,Казмин Стройинвест,"Калужская область, 248033, г. Калуга, ул. Генерала Попова, д. 8А",1,Итого,2017-05-02,2019-03-19,6335,108,1,0.004650329297635404,100.0,2267
2160,6040807001,Казмин Стройинвест,"Калужская область, 248033, г. Калуга, ул. Генерала Попова, д. 8А",1764,Калужская область,2017-05-02,2019-03-19,6335,108,1,0.4713825758844097,100.0,33
2161,7695215001,ГРУППА КОМПАНИЙ ЖБИ-2,"Тверская область, 170040, г. Тверь, пр-кт 50 лет Октября, д. 17",1,Итого,2019-03-05,2019-03-05,6303,115,2,0.004626839078610253,0.0,2275
2162,7695215001,ГРУППА КОМПАНИЙ ЖБИ-2,"Тверская область, 170040, г. Тверь, пр-кт 50 лет Октября, д. 17",1773,Тверская область,2019-03-05,2019-03-05,6303,115,2,0.756467418373409,0.0,28
2163,4951053001,БронИнвестСтрой,"Московская область, 140170, г. Бронницы, пер. Комсомольский, д. 67, оф. 15",1,Итого,2019-02-28,2019-02-28,6365,165,1,0.004672351377971483,100.0,2263
2164,4951053001,БронИнвестСтрой,"Московская область, 140170, г. Бронницы, пер. Комсомольский, д. 67, оф. 15",1768,Московская область,2019-02-28,2019-02-28,6365,165,1,0.038773252072556726,100.0,226
2165,9497817001,Инвестиционно-строительная компания Комфорт,"Московская область, 141400, г. Химки, ул. Репина, д. 36",1,Итого,2019-03-04,2019-03-04,6377,140,1,0.004681160210105915,100.0,2262
2166,9497817001,Инвестиционно-строительная компания Комфорт,"Московская область, 141400, г. Химки, ул. Репина, д. 36",1768,Московская область,2019-03-04,2019-03-04,6377,140,1,0.03884635168369116,100.0,225
2167,6022215001,Промкомплект-М,"Челябинская область, 454091, г. Челябинск, ул. Красная, д. 40, корп. А, оф. 1",1,Итого,2019-01-22,2019-03-15,6362,160,1,0.004670149169937876,100.0,2264
2168,6022215001,Промкомплект-М,"Челябинская область, 454091, г. Челябинск, ул. Красная, д. 40, корп. А, оф. 1",1656,Челябинская область,2019-01-22,2019-03-15,6362,160,1,0.4038106215776542,100.0,39
2169,7670208001,Ск Престиж,"Калининградская область, 236006, г. Калининград, пр-кт Ленинский, д. 18, оф. 5",1,Итого,2019-02-20,2019-03-29,6378,97,2,0.004681894279450451,0.0,2261
2170,7670208001,Ск Престиж,"Калининградская область, 236006, г. Калининград, пр-кт Ленинский, д. 18, оф. 5",1325,Калининградская область,2019-02-20,2019-03-29,6378,97,2,0.3655060407638377,0.0,55
2171,7808381001,Группа компаний Крылья,"Калининградская область, 236001, г. Калининград, ул. Горького, д. 168",1,Итого,2017-11-03,2019-04-02,6384,91,2,0.004686298695517667,0.0,2259
2172,7808381001,Группа компаний Крылья,"Калининградская область, 236001, г. Калининград, ул. Горького, д. 168",1325,Калининградская область,2017-11-03,2019-04-02,6384,91,2,0.36584988464037943,0.0,54
2173,1983426001,Группа компаний СпецСтрой,"Удмуртская Республика, 426006, г. Ижевск, ул. Четырнадцатая, д. 141Б",1,Итого,2018-03-19,2019-03-27,6389,184,3,0.004689969042240347,0.0,2258
2174,1983426001,Группа компаний СпецСтрой,"Удмуртская Республика, 426006, г. Ижевск, ул. Четырнадцатая, д. 141Б",1219,Удмуртская Республика,2018-03-19,2019-03-27,6389,184,3,0.6903131422051556,0.0,23
2175,5481266001,Абаканская строительная компания,"Республика Хакасия, 655011, г. Абакан, ул. Кошурникова, д. 12",1,Итого,2017-04-20,2019-03-27,6405,122,1,0.004701714151752922,100.0,2254
2176,5481266001,Абаканская строительная компания,"Республика Хакасия, 655011, г. Абакан, ул. Кошурникова, д. 12",1550,Республика Хакасия,2017-04-20,2019-03-27,6405,122,1,3.8776585117782743,100.0,8
2177,5631816001,Строительная компания ИНРОССТРОЙ,"Ростовская область, 344007, г. Ростов-на-Дону, ул. Малиновского, д. 42, оф. 4",1,Итого,2017-06-26,2019-03-12,6389,141,2,0.004689969042240347,100.0,2257
2178,5631816001,Строительная компания ИНРОССТРОЙ,"Ростовская область, 344007, г. Ростов-на-Дону, ул. Малиновского, д. 42, оф. 4",1883,Ростовская область,2017-06-26,2019-03-12,6389,141,2,0.17997816824536075,100.0,79
2179,6069505001,Перспектива,"Брянская область, г. Брянск, ул. Евдокимова, д. 2",1,Итого,2019-02-11,2019-03-18,6384,120,1,0.004686298695517667,100.0,2260
2180,6069505001,Перспектива,"Брянская область, г. Брянск, ул. Евдокимова, д. 2",1759,Брянская область,2019-02-11,2019-03-18,6384,120,1,0.5167649092018799,100.0,27
2181,7636875001,Группа Компаний Подрядчик,"Республика Башкортостан, 452607, г. Октябрьский, ул. Северная, д. 31, корп. 2",1,Итого,2019-01-28,2019-03-15,6424,125,1,0.004715661469299106,100.0,2251
2182,7636875001,Группа Компаний Подрядчик,"Республика Башкортостан, 452607, г. Октябрьский, ул. Северная, д. 31, корп. 2",1213,Республика Башкортостан,2019-01-28,2019-03-15,6424,125,1,0.1455927704033287,100.0,69
2183,1412028001,Группа компаний УралМеталлургРемонт-4,"р-н р-н, г. г., пл. пл., д. д., корп. корп., стр. стр., оф. оф.",1,Итого,2017-07-10,2019-03-20,6418,147,2,0.00471125705323189,100.0,2252
2184,1412028001,Группа компаний УралМеталлургРемонт-4,"р-н р-н, г. г., пл. пл., д. д., корп. корп., стр. стр., оф. оф.",1656,Челябинская область,2017-07-10,2019-03-20,6418,147,2,0.4073650690483157,100.0,38
